team_id,team_name,season_id,season_name,statistic_type,statistic_code,statistic_group,location,metric,value
2662,Monterrey,21623,2023/2024,Offsides,offsides,offensive,overall,count,55.0
2662,Monterrey,21623,2023/2024,Offsides,offsides,offensive,overall,average,1.38
2662,Monterrey,21623,2023/2024,Yellowcards,yellowcards,overall,overall,count,86.0
2662,Monterrey,21623,2023/2024,Yellowcards,yellowcards,overall,overall,average,2.15
2662,Monterrey,21623,2023/2024,Shots,shots,offensive,overall,average,13.15
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,all,count,65.0
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,all,average,1.63
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,all,first,35.0
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,home,count,36.0
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,home,percentage,55.38
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,home,average,1.8
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,home,first,27.0
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,away,count,29.0
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,away,percentage,44.62
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,away,average,1.45
2662,Monterrey,21623,2023/2024,Goals,goals,offensive,away,first,44.0
2662,Monterrey,21623,2023/2024,Team Draws,team-draws,,all,count,10.0
2662,Monterrey,21623,2023/2024,Team Draws,team-draws,,all,percentage,25.0
2662,Monterrey,21623,2023/2024,Team Draws,team-draws,,home,count,5.0
2662,Monterrey,21623,2023/2024,Team Draws,team-draws,,home,percentage,50.0
2662,Monterrey,21623,2023/2024,Team Draws,team-draws,,away,count,5.0
2662,Monterrey,21623,2023/2024,Team Draws,team-draws,,away,percentage,50.0
2662,Monterrey,21623,2023/2024,Team Lost,team-lost,,all,count,9.0
2662,Monterrey,21623,2023/2024,Team Lost,team-lost,,all,percentage,22.5
2662,Monterrey,21623,2023/2024,Team Lost,team-lost,,home,count,4.0
2662,Monterrey,21623,2023/2024,Team Lost,team-lost,,home,percentage,44.44
2662,Monterrey,21623,2023/2024,Team Lost,team-lost,,away,count,5.0
2662,Monterrey,21623,2023/2024,Team Lost,team-lost,,away,percentage,55.56
2662,Monterrey,21623,2023/2024,Both Teams To Score,btts,,all,count,21.0
2662,Monterrey,21623,2023/2024,Both Teams To Score,btts,,all,percentage,52.5
2662,Monterrey,21623,2023/2024,Both Teams To Score,btts,,home,count,11.0
2662,Monterrey,21623,2023/2024,Both Teams To Score,btts,,home,percentage,52.38
2662,Monterrey,21623,2023/2024,Both Teams To Score,btts,,away,count,10.0
2662,Monterrey,21623,2023/2024,Both Teams To Score,btts,,away,percentage,47.62
2662,Monterrey,21623,2023/2024,Corners,corners,offensive,overall,count,204.0
2662,Monterrey,21623,2023/2024,Corners,corners,offensive,overall,average,5.1
2662,Monterrey,21623,2023/2024,Team Wins,team-wins,,all,count,21.0
2662,Monterrey,21623,2023/2024,Team Wins,team-wins,,all,percentage,52.5
2662,Monterrey,21623,2023/2024,Team Wins,team-wins,,home,count,11.0
2662,Monterrey,21623,2023/2024,Team Wins,team-wins,,home,percentage,52.38
2662,Monterrey,21623,2023/2024,Team Wins,team-wins,,away,count,10.0
2662,Monterrey,21623,2023/2024,Team Wins,team-wins,,away,percentage,47.62
2662,Monterrey,21623,2023/2024,Cleansheets,cleansheets,,all,count,12.0
2662,Monterrey,21623,2023/2024,Cleansheets,cleansheets,,all,percentage,30.0
2662,Monterrey,21623,2023/2024,Cleansheets,cleansheets,,home,count,6.0
2662,Monterrey,21623,2023/2024,Cleansheets,cleansheets,,home,percentage,50.0
2662,Monterrey,21623,2023/2024,Cleansheets,cleansheets,,away,count,6.0
2662,Monterrey,21623,2023/2024,Cleansheets,cleansheets,,away,percentage,50.0
2662,Monterrey,21623,2023/2024,Dangerous Attacks,dangerous-attacks,offensive,overall,count,1958.0
2662,Monterrey,21623,2023/2024,Dangerous Attacks,dangerous-attacks,offensive,overall,average,48.95
2662,Monterrey,21623,2023/2024,Attacks,attacks,offensive,overall,count,4105.0
2662,Monterrey,21623,2023/2024,Attacks,attacks,offensive,overall,average,102.63
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,all,count,40.0
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,all,average,1.0
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,all,first,44.0
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,home,count,21.0
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,home,percentage,52.5
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,home,average,1.05
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,home,first,45.0
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,away,count,19.0
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,away,percentage,47.5
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,away,average,0.95
2662,Monterrey,21623,2023/2024,Goals Conceded,goals-conceded,defensive,away,first,43.0
2662,Monterrey,21623,2023/2024,Fouls,fouls,defensive,overall,count,394.0
2662,Monterrey,21623,2023/2024,Fouls,fouls,defensive,overall,average,9.85
2662,Monterrey,21623,2023/2024,Redcards,redcards,overall,overall,count,5.0
2662,Monterrey,21623,2023/2024,Redcards,redcards,overall,overall,average,0.13
2662,Monterrey,21623,2023/2024,Failed To Score,failed-toscore,offensive,all,count,9.0
