player_id,player_name,season_id,season_name,team_id,team_name,position,jersey_number,appearances,minutes_played,goals,assists,shots_total,shots_on_target,passes_total,passes_accuracy,tackles,interceptions
37526280,Jesus Alcantar,23586,2024/2025,3951,Necaxa,25,6,10,612,9,0,8,0,81.69,0,10,13
37526280,Jesus Alcantar,21623,2023/2024,3951,Necaxa,25,6,5,120,3,0,0,0,68.75,0,7,1
37526280,Jesus Alcantar,18469,2021/2022,3951,Necaxa,25,199,1,28,3,0,0,0,76.92,0,3,2
37526280,Jesus Alcantar,17191,2020/2021,3951,Necaxa,25,199,0,0,3,0,0,0,0.0,0,0,0
37526281,Alan Montes,23586,2024/2025,3951,Necaxa,25,23,20,1416,26,0,10,0,78.69,0,35,22
37526281,Alan Montes,21623,2023/2024,3951,Necaxa,25,23,34,2590,50,1,30,0,74.03,0,58,55
37526281,Alan Montes,19684,2022/2023,3951,Necaxa,25,23,0,0,7,0,0,0,0.0,0,0,0
37526281,Alan Montes,17191,2020/2021,3951,Necaxa,25,205,1,22,11,0,0,0,50.0,0,0,1
333725,Ezequiel Unsaín,23586,2024/2025,3951,Necaxa,24,22,34,3060,51,1,1,0,63.74,0,0,1
333725,Ezequiel Unsaín,21623,2023/2024,3951,Necaxa,24,22,27,2414,1,1,0,0,49.71,0,0,1
37927241,Alex Gutierrez,23586,2024/2025,3951,Necaxa,27,310,1,4,2,0,0,0,0.0,0,0,0
2238638,Alejandro Mayorga,23586,2024/2025,3951,Necaxa,25,5,29,1889,26,3,4,0,76.79,0,44,25
2238638,Alejandro Mayorga,21623,2023/2024,3951,Necaxa,25,5,8,431,9,0,1,0,73.68,0,10,6
37648333,Rogelio Cortéz Pineda,23586,2024/2025,3951,Necaxa,26,17,7,164,5,0,2,0,79.12,0,2,0
37648333,Rogelio Cortéz Pineda,21623,2023/2024,3951,Necaxa,26,17,12,304,7,0,4,0,78.07,0,13,3
37648333,Rogelio Cortéz Pineda,19684,2022/2023,3951,Necaxa,26,188,9,144,12,0,1,0,82.35,0,5,1
37531229,Alek Álvarez,21623,2023/2024,3951,Necaxa,26,21,1,6,0,0,0,0,100.0,0,1,0
37782143,Ricardo Jiménez,23586,2024/2025,3951,Necaxa,26,186,1,1,0,0,0,0,50.0,0,0,0
37912343,Joshua Palacios,23586,2024/2025,3951,Necaxa,26,258,1,1,0,0,0,0,0.0,0,0,0
37554747,Bryan Roque,23586,2024/2025,3951,Necaxa,27,198,2,10,0,0,1,0,75.0,0,0,0
37554747,Bryan Roque,18469,2021/2022,3951,Necaxa,27,198,0,0,1,0,0,0,0.0,0,0,0
37554747,Bryan Roque,17191,2020/2021,3951,Necaxa,27,259,2,20,5,0,1,0,75.0,0,0,0
254102,José Rodríguez,23586,2024/2025,3951,Necaxa,26,29,15,1230,18,0,5,0,86.89,0,36,16
37561615,Arturo Palma,23586,2024/2025,3951,Necaxa,27,20,13,538,9,1,2,0,73.38,0,13,3
37561615,Arturo Palma,19684,2022/2023,3951,Necaxa,27,15,0,0,9,0,0,0,0.0,0,0,0
37561615,Arturo Palma,18469,2021/2022,3951,Necaxa,27,16,4,138,6,0,1,0,69.7,0,1,0
468451,Diber Cambindo,23586,2024/2025,3951,Necaxa,27,27,30,2169,31,0,4,0,63.53,0,11,5
468451,Diber Cambindo,21623,2023/2024,3951,Necaxa,27,27,16,1275,22,4,1,0,64.73,0,5,1
34862161,Emilio Lara,23586,2024/2025,3951,Necaxa,25,26,24,1963,38,3,19,0,82.69,0,25,28
37615847,Johan Rojas,23586,2024/2025,3951,Necaxa,26,21,11,572,8,2,5,0,86.31,0,13,2
254419,Alexis Peña,23586,2024/2025,3951,Necaxa,25,4,20,1535,24,0,14,0,90.3,0,13,18
254419,Alexis Peña,21623,2023/2024,3951,Necaxa,25,4,36,3270,1,0,24,0,80.93,0,47,44
