team_id,team_name,season_name,statistic_name,statistic_code,metric,value,time_period,location
3951,Necaxa,2023-2024,Corners,corners,corners_count,136,,
3951,Necaxa,2023-2024,Corners,corners,corners_average,3.78,,
3951,Necaxa,2023-2024,Offsides,offsides,offsides_count,64,,
3951,Necaxa,2023-2024,Offsides,offsides,offsides_average,1.78,,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,count,3,0-15,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,percentage,6,0-15,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,count,6,15-30,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,percentage,12,15-30,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,count,10,30-45,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,percentage,20,30-45,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,count,10,45-60,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,percentage,20,45-60,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,count,7,60-75,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,percentage,14,60-75,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,count,14,75-90,
3951,Necaxa,2023-2024,Scoring Minutes,scoring-minutes,percentage,28,75-90,
3951,Necaxa,2023-2024,Shots,shots,shots_total,395,,
3951,Necaxa,2023-2024,Shots,shots,shots_on_target,147,,
3951,Necaxa,2023-2024,Shots,shots,shots_off_target,195,,
3951,Necaxa,2023-2024,Shots,shots,shots_inside_box,257,,
3951,Necaxa,2023-2024,Shots,shots,shots_outside_box,138,,
3951,Necaxa,2023-2024,Shots,shots,shots_blocked,63,,
3951,Necaxa,2023-2024,Shots,shots,shots_average,10.97,,
3951,Necaxa,2023-2024,Dangerous Attacks,dangerous-attacks,dangerous-attacks_count,1384,,
3951,Necaxa,2023-2024,Dangerous Attacks,dangerous-attacks,dangerous-attacks_average,38.44,,
3951,Necaxa,2023-2024,Penalties,penalties,penalties_scored,3,,
3951,Necaxa,2023-2024,Penalties,penalties,penalties_missed,1,,
