team_id_,team_name_,match_id_,match_date_,season_name_,is_home_,team_strength_,tournament_phase_,detailed_phase_,form_value_Goals Conceded_average,form_value_Goals_average,form_value_Team Wins_percentage,value_Cleansheets_percentage,value_Failed To Score_percentage,value_Goals Conceded_average,value_Goals_average,value_Team Wins_percentage
609,Tigres UANL,team_stat_609_17191,2025-04-24 23:16:06.345072,2020-2021,False,506.18999999999994,regular_season,early,1.1144444444444443,1.2333333333333334,30.614444444444445,51.72,48.025,0.985,1.24,43.07
609,Tigres UANL,team_stat_609_17191,2025-04-24 23:16:06.345072,2020-2021,True,506.18999999999994,regular_season,early,1.1144444444444443,1.2333333333333334,30.614444444444445,30.77,25.0,1.26,1.47,53.330000000000005
609,Tigres UANL,team_stat_609_18469,2025-04-24 23:16:05.807198,2021-2022,False,546.4259999999999,regular_season,early,16.56777777777778,1.5088888888888892,34.628888888888895,34.519999999999996,32.935,1.155,1.4749999999999999,46.43
609,Tigres UANL,team_stat_609_18469,2025-04-24 23:16:05.807198,2021-2022,True,546.4259999999999,regular_season,early,16.56777777777778,1.5088888888888892,34.628888888888895,64.29,55.56,0.9,1.76,57.14000000000001
609,Tigres UANL,team_stat_609_19684,2025-04-24 23:16:05.420644,2022-2023,False,545.4839999999999,regular_season,early,16.75444444444444,1.2188888888888887,34.41,47.675,30.68,0.9800000000000001,1.3150000000000002,47.725
609,Tigres UANL,team_stat_609_19684,2025-04-24 23:16:05.420644,2022-2023,True,545.4839999999999,regular_season,early,16.75444444444444,1.2188888888888887,34.41,52.38,63.64,0.7799999999999999,1.39,54.54999999999999
609,Tigres UANL,team_stat_609_21623,2025-04-24 23:16:05.014884,2023-2024,False,530.418,regular_season,early,16.58,1.662222222222222,48.40611111111111,31.275,44.050000000000004,1.295,1.665,43.675000000000004
609,Tigres UANL,team_stat_609_21623,2025-04-24 23:16:05.014884,2023-2024,True,530.418,regular_season,early,16.58,1.662222222222222,48.40611111111111,63.64,28.57,1.05,2.1,57.89000000000001
967,Toluca,team_stat_967_17191,2025-04-24 23:16:04.000997,2020-2021,False,485.046,regular_season,early,13.823333333333329,1.4155555555555557,32.36000000000001,28.505,37.78,1.765,1.25,24.795
967,Toluca,team_stat_967_17191,2025-04-24 23:16:04.000997,2020-2021,True,485.046,regular_season,early,13.823333333333329,1.4155555555555557,32.36000000000001,66.67,42.86,1.17,1.89,84.62
967,Toluca,team_stat_967_18469,2025-04-24 23:16:03.579091,2021-2022,False,472.092,regular_season,early,16.481111111111108,18.03,27.21444444444445,47.144999999999996,52.08,1.735,1.16,42.99
967,Toluca,team_stat_967_18469,2025-04-24 23:16:03.579091,2021-2022,True,472.092,regular_season,early,16.481111111111108,18.03,27.21444444444445,20.0,27.27,1.67,1.4400000000000002,45.45000000000001
967,Toluca,team_stat_967_19684,2025-04-24 23:16:03.031041,2022-2023,False,542.1,regular_season,early,1.471111111111111,1.7422222222222221,34.84,28.05,40.31,1.45,1.6600000000000001,43.47
967,Toluca,team_stat_967_19684,2025-04-24 23:16:03.031041,2022-2023,True,542.1,regular_season,early,1.471111111111111,1.7422222222222221,34.84,62.5,33.33,1.36,2.18,61.9
967,Toluca,team_stat_967_21623,2025-04-24 23:16:02.650717,2023-2024,False,506.652,regular_season,early,1.1227777777777777,14.654444444444444,33.248888888888885,28.89,40.28,1.4000000000000001,1.54,30.16
967,Toluca,team_stat_967_21623,2025-04-24 23:16:02.650717,2023-2024,True,506.652,regular_season,early,1.1227777777777777,14.654444444444445,33.248888888888885,70.0,44.44,0.7799999999999999,2.0,78.57
2626,Cruz Azul,team_stat_2626_17191,2025-04-24 23:15:57.775113,2020-2021,False,587.7479999999999,regular_season,early,16.606666666666662,1.2699999999999951,38.1311111111111,45.275,44.32,0.85,1.285,52.9
2626,Cruz Azul,team_stat_2626_17191,2025-04-24 23:15:57.775113,2020-2021,True,587.7479999999999,regular_season,early,16.606666666666662,1.2699999999999951,38.1311111111111,52.63,36.36,0.82,1.7299999999999998,55.56
2626,Cruz Azul,team_stat_2626_18469,2025-04-24 23:15:57.388054,2021-2022,False,486.06,regular_season,early,16.948888888888884,1.1033333333333284,42.57222222222222,44.955,34.06,0.995,1.19,40.18
2626,Cruz Azul,team_stat_2626_18469,2025-04-24 23:15:57.388054,2021-2022,True,486.06,regular_season,early,16.948888888888884,1.1033333333333284,42.57222222222222,41.67,55.56,1.15,1.1,53.85
2626,Cruz Azul,team_stat_2626_19684,2025-04-24 23:15:56.983024,2022-2023,False,501.936,regular_season,early,1.3944444444444446,1.4355555555555555,32.83111111111111,28.11,45.175,1.845,1.24,33.07
2626,Cruz Azul,team_stat_2626_19684,2025-04-24 23:15:56.983024,2022-2023,True,501.936,regular_season,early,1.3944444444444446,1.4355555555555555,32.83111111111111,72.73,33.33,1.1,1.3,73.33
2626,Cruz Azul,team_stat_2626_21623,2025-04-24 23:15:56.612184,2023-2024,False,515.658,regular_season,early,1.2433333333333334,17.86444444444444,44.92666666666667,40.0,52.5,1.14,1.1900000000000002,47.72
2626,Cruz Azul,team_stat_2626_21623,2025-04-24 23:15:56.612184,2023-2024,True,515.658,regular_season,early,1.2433333333333334,17.86444444444444,44.92666666666667,50.0,20.0,1.3999999999999997,1.45,47.06
2662,Monterrey,team_stat_2662_17191,2025-04-24 23:15:59.843891,2020-2021,False,520.716,regular_season,early,1.0999999999999999,16.906666666666666,32.14,23.745,41.445,1.11,1.4249999999999998,43.495000000000005
2662,Monterrey,team_stat_2662_17191,2025-04-24 23:15:59.843891,2020-2021,True,520.716,regular_season,early,1.0999999999999999,16.906666666666666,32.14,71.43,33.33,0.9499999999999998,1.37,56.25
2662,Monterrey,team_stat_2662_18469,2025-04-24 23:15:59.432743,2021-2022,False,487.278,regular_season,early,16.61,15.357777777777779,30.570000000000004,28.645,43.42,1.145,1.2249999999999999,32.49
2662,Monterrey,team_stat_2662_18469,2025-04-24 23:15:59.432743,2021-2022,True,487.278,regular_season,early,16.61,15.357777777777779,30.570000000000004,76.92,50.0,0.63,1.26,69.23
2662,Monterrey,team_stat_2662_19684,2025-04-24 23:15:59.031454,2022-2023,False,583.662,regular_season,early,1.0855555555555556,1.488888888888889,37.470000000000006,46.305,27.38,0.915,1.615,51.76
2662,Monterrey,team_stat_2662_19684,2025-04-24 23:15:59.031454,2022-2023,True,583.662,regular_season,early,1.0855555555555556,1.488888888888889,37.470000000000006,52.63,66.67,0.67,1.8999999999999997,56.0
2662,Monterrey,team_stat_2662_21623,2025-04-24 23:15:58.645543,2023-2024,False,556.44,regular_season,early,17.074444444444442,1.6572222222222222,34.95333333333333,40.0,39.03,0.975,1.54,50.06
2662,Monterrey,team_stat_2662_21623,2025-04-24 23:15:58.645543,2023-2024,True,556.44,regular_season,early,17.074444444444442,1.6572222222222222,34.95333333333333,50.0,44.44,1.05,1.8,52.38
2687,America,team_stat_2687_17191,2025-04-24 23:15:55.823162,2020-2021,False,585.5219999999999,regular_season,early,16.164444444444445,1.5722222222222222,38.58888888888889,40.79,53.945,1.145,1.5650000000000002,49.830000000000005
2687,America,team_stat_2687_17191,2025-04-24 23:15:55.823162,2020-2021,True,585.5219999999999,regular_season,early,16.164444444444445,1.5722222222222222,38.58888888888888,50.0,0.0,0.9499999999999998,2.0,60.87
2687,America,team_stat_2687_18469,2025-04-24 23:15:55.108029,2021-2022,False,526.818,regular_season,early,1.3566666666666667,16.308888888888887,33.217777777777776,44.805,39.03,0.965,1.165,41.945
2687,America,team_stat_2687_18469,2025-04-24 23:15:55.108029,2021-2022,True,526.818,regular_season,early,1.3566666666666667,16.308888888888887,33.217777777777776,57.89,44.44,0.85,1.5,61.10999999999999
2687,America,team_stat_2687_19684,2025-04-24 23:15:54.378764,2022-2023,False,585.792,regular_season,early,18.108888888888888,1.857777777777778,36.086666666666666,39.285,17.259999999999998,1.18,2.25,57.76
2687,America,team_stat_2687_19684,2025-04-24 23:15:54.378764,2022-2023,True,585.792,regular_season,early,18.108888888888888,1.857777777777778,36.086666666666666,50.0,75.0,1.14,2.14,44.0
2687,America,team_stat_2687_21623,2025-04-24 23:15:54.000739,2023-2024,False,582.6419999999999,regular_season,early,1.0833333333333333,16.897777777777776,56.86000000000001,46.64,45.435,0.7399999999999999,1.7300000000000002,49.72
