feature,importance
team_name_,0.4439740396857939
detailed_phase_,0.2249515165605536
match_date_,0.10894372879561887
team_strength_,0.06168091165901338
is_home_,0.032801949473181734
season_name_,0.029988230960652444
match_id_,0.016483585835716272
Unknown,0.011019834575536805
tournament_phase_,0.009870683023946945
avg_player_assists,0.006740797672972935
Unknown,0.0058583718084223605
Unknown,0.005660258857781033
Unknown,0.004621297890210318
max_player_assists,0.004377179399500163
Unknown,0.004374991887244368
Unknown,0.00428969833324645
Unknown,0.003179676039883627
team_id_,0.0021083110391623507
Unknown,0.001962716612240736
value_Team Wins_percentage,0.0016731728508038314
Unknown,0.000961847312884637
Unknown,0.0009366199570177994
Unknown,0.0008202675624369532
Unknown,0.0007156839441526132
goal_contribution_top5,0.0006914368869078024
player_retention_rate,0.0006652914095644676
value_Goals Conceded_average,0.0006259624103822774
Unknown,0.0006060723829037506
minutes_played_variation,0.0005528414715909476
Unknown,0.0005272918457819707
total_players,0.0005259232837650441
Unknown,0.0005227933881687954
Unknown,0.0004960636195303841
Unknown,0.0003960185680365062
Unknown,0.0003912996510012311
form_value_Goals_average,0.0003693477730618898
Unknown,0.0003653912331663961
Unknown,0.0003565930846930091
Unknown,0.0002945276580347095
Unknown,0.00027094903627291467
Unknown,0.00026171189344002224
Unknown,0.00023620699286676104
Unknown,0.00023093256647629699
Unknown,0.0002194150846896433
players_min_5_appearances,0.00021605559749149637
Unknown,0.00021149238315681829
Unknown,0.00020910490669632996
Unknown,0.00020038319135403374
Unknown,0.00014435598921274732
Unknown,0.00013010461696107942
form_value_Team Wins_percentage,0.00012536965092555221
season_name,0.00012492867674733377
avg_minutes_played,0.00012251312890463218
player_continuity,0.00011979123049211676
Unknown,0.0001187857961485833
Unknown,0.000115428848838208
Unknown,0.00010709616924404192
Unknown,9.52686180898331e-05
Unknown,8.687293079538367e-05
Unknown,8.460450904469892e-05
Unknown,8.146647560508042e-05
Unknown,7.818642380115214e-05
Unknown,7.676203220227404e-05
Unknown,7.422285934349581e-05
form_value_Goals Conceded_average,7.369143948515286e-05
Unknown,6.922975217456205e-05
Unknown,6.502308973477586e-05
Unknown,6.314474365523422e-05
Unknown,5.5520780183647576e-05
Unknown,5.066248488146594e-05
Unknown,5.0307025283510614e-05
Unknown,4.7126369451611186e-05
Unknown,4.5419348340081653e-05
value_Cleansheets_percentage,4.156080538313042e-05
Unknown,4.14284451513254e-05
avg_player_goals,3.964023304003408e-05
Unknown,3.397026153416487e-05
retained_goal_contribution,3.3462471923963435e-05
Unknown,3.106749787249426e-05
value_Failed To Score_percentage,2.9638595547492543e-05
Unknown,2.6251457597287624e-05
max_player_goals,1.843663195351208e-05
Unknown,1.475882340318389e-05
Unknown,1.3783170514434886e-05
Unknown,9.628624419379057e-06
total_goals_top5,7.887560310927112e-06
Unknown,3.604583538173201e-06
Unknown,2.945464300278854e-06
Unknown,2.0777272434202027e-06
Unknown,2.0515855689192545e-06
Unknown,1.9159559299939886e-06
Unknown,1.5290582136079476e-06
Unknown,1.0640204440514197e-16
Unknown,1.0143643844270244e-16
Unknown,9.285804412569006e-17
Unknown,6.909458339339935e-17
Unknown,6.645265452026409e-17
Unknown,0.0
